




/usr/lib/python3.7/threading.py:885: size=404 B, count=1, average=404 B
/usr/lib/python3.7/threading.py:885: size=404 B, count=1, average=404 B
/usr/lib/python3.7/threading.py:865: size=404 B, count=1, average=404 B
/usr/lib/python3.7/threading.py:865: size=404 B, count=1, average=404 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/sessions.py:655: size=404 B, count=1, average=404 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/sessions.py:542: size=404 B, count=1, average=404 B
/home/pi/wladio/radio/weather.py:62: size=404 B, count=1, average=404 B
/home/pi/wladio/radio/weather.py:29: size=404 B, count=1, average=404 B
/home/pi/wladio/radio/weather.py:29: size=404 B, count=1, average=404 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/api.py:61: size=402 B, count=2, average=201 B
<frozen importlib._bootstrap>:1006: size=400 B, count=20, average=20 B
<frozen importlib._bootstrap>:1006: size=400 B, count=2, average=200 B
/usr/lib/python3.7/threading.py:885: size=400 B, count=1, average=400 B
/usr/lib/python3.7/threading.py:885: size=400 B, count=1, average=400 B
/usr/lib/python3.7/threading.py:885: size=400 B, count=1, average=400 B
/usr/lib/python3.7/threading.py:885: size=400 B, count=1, average=400 B
<frozen importlib._bootstrap>:983: size=396 B, count=1, average=396 B
/usr/lib/python3.7/threading.py:885: size=396 B, count=1, average=396 B
/usr/lib/python3.7/threading.py:865: size=396 B, count=1, average=396 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/api.py:61: size=396 B, count=1, average=396 B
/home/pi/wladio/radio/weather.py:62: size=396 B, count=1, average=396 B
/home/pi/wladio/radio/weather.py:62: size=396 B, count=1, average=396 B
/usr/lib/python3.7/threading.py:885: size=393 B, count=3, average=131 B
/home/pi/wladio/radio/weather.py:62: size=392 B, count=3, average=131 B
main.py:100: size=392 B, count=2, average=196 B
/home/pi/wladio/venv/lib/python3.7/site-packages/urllib3/connectionpool.py:382: size=392 B, count=2, average=196 B
<frozen importlib._bootstrap_external>:728: size=392 B, count=1, average=392 B
<frozen importlib._bootstrap_external>:728: size=392 B, count=1, average=392 B
<frozen importlib._bootstrap_external>:728: size=392 B, count=1, average=392 B
<frozen importlib._bootstrap>:983: size=392 B, count=1, average=392 B
<frozen importlib._bootstrap>:677: size=392 B, count=1, average=392 B
<frozen importlib._bootstrap>:583: size=392 B, count=1, average=392 B
<frozen importlib._bootstrap>:219: size=392 B, count=1, average=392 B
/usr/lib/python3.7/threading.py:917: size=392 B, count=1, average=392 B
/usr/lib/python3.7/threading.py:917: size=392 B, count=1, average=392 B
/usr/lib/python3.7/threading.py:885: size=392 B, count=1, average=392 B
/usr/lib/python3.7/threading.py:885: size=392 B, count=1, average=392 B
/usr/lib/python3.7/threading.py:865: size=392 B, count=1, average=392 B
/home/pi/wladio/venv/lib/python3.7/site-packages/urllib3/connectionpool.py:706: size=392 B, count=1, average=392 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/api.py:76: size=392 B, count=1, average=392 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/api.py:61: size=392 B, count=1, average=392 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/overrides/__init__.py:118: size=392 B, count=1, average=392 B
/home/pi/wladio/radio/weather.py:62: size=392 B, count=1, average=392 B
/home/pi/wladio/radio/weather.py:62: size=392 B, count=1, average=392 B
/home/pi/wladio/radio/weather.py:62: size=392 B, count=1, average=392 B
/home/pi/wladio/radio/weather.py:38: size=392 B, count=1, average=392 B
/home/pi/wladio/radio/weather.py:29: size=392 B, count=1, average=392 B
/home/pi/wladio/radio/weather.py:29: size=392 B, count=1, average=392 B
/home/pi/wladio/radio/weather.py:29: size=392 B, count=1, average=392 B
